-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 01/01/2021 
Location: Latitude  45.3859   Longitude -75.7107 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX              MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN              MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE            MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
TOA_SW_DWN            CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,T2M_MAX,T2M_MIN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
2019,49,-15.06,-12.07,-20.1,201.52,0.02,1.67,2.35,0.98,1.38,3.55,4.65,2.88,1.76,0.8,0.78,0.82,12.21,13.97,18.29
2019,50,-19.99,-12.06,-28.45,172.0,0.05,1.17,1.81,0.63,1.18,2.8,3.51,1.62,1.89,0.8,0.78,0.82,14.4,14.6,18.54
2019,51,-15.37,-9.28,-23.12,229.04,1.33,1.02,2.27,0.26,2.02,2.25,4.69,0.45,4.25,0.8,0.78,0.82,7.59,14.28,18.79
2019,52,-3.73,0.38,-9.36,284.37,4.27,2.01,3.05,0.46,2.58,4.27,6.24,1.41,4.84,0.82,0.78,0.82,3.63,13.55,19.04
2019,53,-9.53,-5.06,-13.35,209.8,0.07,1.27,1.87,0.72,1.15,2.79,3.74,1.86,1.88,0.8,0.79,0.82,14.59,15.06,19.3
2019,54,-7.75,-1.52,-15.15,241.58,0.05,1.02,2.09,0.38,1.71,1.98,4.3,0.66,3.64,0.8,0.78,0.82,12.74,14.43,19.56
2019,55,-1.95,0.76,-6.06,292.37,13.16,2.3,3.86,1.16,2.7,4.93,8.02,2.92,5.09,0.84,0.79,0.82,2.02,13.63,19.82
2019,56,-8.07,-0.47,-14.54,244.18,1.26,3.98,4.84,2.52,2.32,8.48,10.27,5.47,4.8,0.82,0.8,0.83,7.25,15.24,20.08
2019,57,-17.55,-15.17,-24.06,172.06,0.09,2.21,2.92,0.83,2.09,4.87,6.14,2.74,3.39,0.81,0.8,0.83,15.7,16.47,20.35
2019,58,-20.38,-14.84,-26.88,192.82,0.03,0.61,1.21,0.11,1.09,1.42,2.8,0.2,2.61,0.81,0.79,0.83,10.06,16.15,20.61
2019,59,-15.31,-9.92,-22.08,182.1,0.03,0.87,1.42,0.18,1.24,1.86,2.65,0.23,2.41,0.8,0.79,0.83,16.39,16.63,20.88
2019,60,-11.08,-3.45,-17.36,197.49,0.01,0.79,1.41,0.2,1.21,1.56,2.72,0.36,2.36,0.8,0.79,0.83,15.68,15.96,21.15
2019,61,-8.74,-4.31,-14.77,249.79,1.02,0.81,1.24,0.27,0.97,2.05,2.95,0.74,2.21,0.8,0.79,0.83,6.87,14.9,21.42
2019,62,-9.47,-4.88,-15.7,251.23,0.62,0.77,1.11,0.26,0.85,2.0,2.79,0.62,2.16,0.8,0.79,0.83,12.3,16.12,21.69
2019,63,-10.85,-7.43,-15.16,211.23,0.14,1.39,2.1,0.45,1.65,3.23,4.58,1.44,3.14,0.8,0.79,0.83,16.51,17.51,21.96
2019,64,-13.8,-9.31,-20.88,196.88,0.44,1.04,1.8,0.46,1.34,2.7,3.99,1.48,2.51,0.8,0.79,0.83,14.24,17.51,22.23
2019,65,-16.35,-12.67,-19.68,187.13,0.04,1.26,2.02,0.68,1.34,3.02,4.48,2.18,2.3,0.8,0.79,0.83,16.42,18.06,22.51
2019,66,-16.29,-9.21,-26.17,188.78,0.05,1.1,1.84,0.66,1.18,2.84,4.09,1.7,2.39,0.8,0.79,0.83,16.58,18.06,22.78
2019,67,-10.6,-1.99,-19.63,195.35,0.0,1.37,1.98,0.83,1.15,3.41,4.41,2.73,1.68,0.8,0.79,0.83,17.33,18.1,23.06
2019,68,-9.79,-2.69,-17.2,202.33,0.0,1.14,2.2,0.63,1.56,2.83,4.96,1.73,3.24,0.8,0.79,0.83,17.55,17.93,23.34
2019,69,-3.13,0.48,-10.68,284.77,10.23,2.09,2.8,1.81,0.98,4.91,6.55,4.27,2.28,0.85,0.8,0.83,2.88,16.81,23.61
2019,70,-1.13,0.43,-4.4,281.67,1.5,2.34,3.3,1.73,1.58,5.35,7.48,3.95,3.53,0.84,0.81,0.84,8.49,17.89,23.89
2019,71,-6.46,-3.86,-9.38,219.9,0.2,1.48,2.05,0.49,1.56,3.43,4.7,1.37,3.34,0.82,0.8,0.84,17.49,18.66,24.17
2019,72,-4.87,0.34,-12.18,266.82,2.71,0.77,1.08,0.59,0.49,2.14,2.94,1.51,1.43,0.82,0.8,0.84,5.0,17.22,24.45
2019,73,-0.35,1.73,-4.42,300.59,1.39,1.23,1.66,0.65,1.01,3.1,4.15,2.06,2.09,0.88,0.81,0.84,8.27,15.32,24.73
2019,74,5.27,9.23,1.03,319.54,2.83,1.93,2.8,1.2,1.61,4.93,6.98,3.15,3.82,0.91,0.85,0.86,7.06,17.76,25.0
2019,75,-2.96,1.7,-7.06,272.45,0.23,2.28,2.88,1.47,1.41,5.31,6.62,3.49,3.13,0.84,0.84,0.87,14.46,19.38,25.28
2019,76,-6.31,-3.13,-9.19,241.47,0.01,1.61,2.27,0.8,1.47,3.81,5.24,2.1,3.14,0.84,0.83,0.87,11.78,20.06,25.56
2019,77,-6.24,-0.03,-11.45,196.19,0.0,1.09,1.7,0.56,1.13,2.63,3.87,1.62,2.24,0.83,0.82,0.86,20.46,20.36,25.84
2019,78,-3.81,2.19,-12.47,210.27,0.0,0.73,1.16,0.18,0.98,1.88,2.95,0.38,2.58,0.83,0.82,0.86,19.52,19.71,26.12
2019,79,0.82,7.36,-4.32,256.13,0.01,1.1,1.77,0.63,1.14,3.02,4.74,1.93,2.81,0.83,0.81,0.86,15.76,18.48,26.39
2019,80,3.06,8.07,-0.42,297.93,4.4,0.87,1.4,0.57,0.83,2.52,3.83,1.76,2.07,0.84,0.81,0.86,9.96,17.39,26.67
2019,81,0.34,3.73,-4.54,290.14,8.12,1.8,3.29,0.29,2.99,4.7,8.56,0.33,8.24,0.86,0.83,0.87,8.45,19.96,26.94
2019,82,-4.37,0.62,-9.24,221.44,1.06,2.12,3.05,0.77,2.27,5.59,7.94,2.61,5.34,0.84,0.82,0.87,20.61,21.34,27.22
2019,83,-1.77,2.54,-6.85,254.91,0.34,1.22,1.41,0.99,0.41,3.29,3.72,2.69,1.02,0.84,0.82,0.87,13.62,19.05,27.49
2019,84,-4.0,2.69,-10.63,194.83,0.15,1.24,1.72,0.82,0.9,3.34,4.63,2.12,2.51,0.83,0.82,0.87,22.58,22.66,27.77
2019,85,-4.37,2.06,-10.84,204.95,0.11,1.06,1.52,0.61,0.9,2.84,4.06,2.02,2.04,0.83,0.82,0.87,22.0,22.58,28.04
2019,86,-0.59,7.52,-8.17,223.68,0.0,1.0,1.24,0.53,0.72,2.7,3.76,1.43,2.33,0.84,0.81,0.87,21.29,21.19,28.31
2019,87,3.07,7.3,-2.36,296.92,0.9,1.32,1.94,0.73,1.22,4.02,5.97,2.21,3.76,0.84,0.81,0.86,5.79,18.61,28.58
2019,88,1.94,7.35,-4.0,265.83,0.34,0.93,1.23,0.61,0.62,2.73,3.52,1.92,1.6,0.83,0.81,0.86,17.02,20.65,28.85
2019,89,0.04,2.23,-3.82,310.15,13.78,0.81,1.31,0.33,0.98,2.37,3.84,0.86,2.98,0.85,0.82,0.87,4.43,19.67,29.12
2019,90,-1.6,1.43,-6.26,283.52,10.55,1.41,1.69,0.95,0.73,4.21,5.02,2.81,2.21,0.85,0.83,0.87,10.79,22.35,29.38
2019,91,-3.56,1.65,-10.43,214.43,0.27,1.24,1.5,0.95,0.56,3.8,4.48,3.09,1.4,0.84,0.83,0.87,22.08,22.98,29.65
2019,92,0.99,5.86,-5.39,270.53,0.07,1.01,1.39,0.73,0.66,3.32,4.68,2.38,2.29,0.86,0.83,0.87,14.49,21.14,29.92
2019,93,2.71,7.12,-1.75,285.52,0.64,1.5,2.18,0.81,1.37,4.84,7.02,2.58,4.44,0.84,0.83,0.88,14.65,22.03,30.18
2019,94,-2.17,1.3,-5.7,223.06,0.19,1.48,1.89,0.48,1.41,4.75,6.02,1.55,4.46,0.84,0.83,0.87,22.67,24.13,30.44
2019,95,-0.7,4.05,-6.45,255.34,1.84,0.65,0.98,0.27,0.71,2.08,3.2,0.84,2.36,0.84,0.82,0.87,20.3,23.26,30.7
2019,96,4.08,10.48,-0.17,299.91,1.04,0.74,1.1,0.45,0.66,2.23,3.41,1.54,1.87,0.84,0.82,0.87,13.78,22.5,30.96
2019,97,4.74,12.58,-1.65,309.52,2.37,0.55,1.29,0.02,1.26,1.89,4.38,0.08,4.29,0.84,0.82,0.87,11.86,20.84,31.22
2019,98,0.6,3.98,-2.67,303.66,10.1,1.04,1.74,0.27,1.47,3.54,5.96,0.7,5.26,0.86,0.83,0.88,5.94,21.72,31.47
2019,99,-1.14,1.3,-3.61,298.45,9.47,0.81,1.26,0.5,0.77,2.84,4.34,1.77,2.59,0.85,0.83,0.88,3.72,21.91,31.72
2019,100,-1.33,3.84,-6.59,256.18,0.98,0.84,1.23,0.65,0.58,2.97,4.34,2.34,2.0,0.86,0.84,0.88,17.07,24.92,31.97
2019,101,0.3,6.83,-5.36,239.24,0.07,0.55,0.78,0.28,0.5,1.95,2.72,0.86,1.87,0.85,0.84,0.88,23.01,25.17,32.22
2019,102,7.91,16.48,-0.28,315.76,1.13,0.84,1.02,0.6,0.41,3.35,4.42,2.3,2.12,0.84,0.83,0.88,15.19,21.03,32.46
2019,103,9.13,15.04,-0.04,283.59,0.44,1.01,1.6,0.52,1.09,4.1,6.64,2.1,4.54,0.84,0.83,0.88,23.83,24.71,32.71
2019,104,1.98,7.07,-3.48,287.41,15.15,0.62,1.1,0.28,0.82,2.34,4.21,0.99,3.22,0.87,0.83,0.88,9.95,22.28,32.95
2019,105,2.01,4.22,-0.04,300.74,9.92,1.12,1.54,0.62,0.91,4.3,5.98,2.38,3.61,0.89,0.85,0.88,9.31,24.47,33.19
2019,106,3.31,9.9,-1.6,263.13,0.1,0.98,1.19,0.46,0.72,3.72,4.76,2.08,2.68,0.85,0.84,0.89,20.67,25.65,33.43
2019,107,5.32,14.62,-3.89,248.95,0.06,0.42,0.93,0.08,0.85,1.66,3.02,0.31,2.7,0.84,0.84,0.88,24.83,26.05,33.67
2019,108,10.58,16.72,2.57,333.83,8.26,0.88,1.09,0.6,0.48,4.17,5.41,2.46,2.94,0.87,0.84,0.88,8.37,20.76,33.9
2019,109,6.83,14.12,1.93,328.48,26.22,0.73,0.88,0.48,0.4,3.24,4.16,2.41,1.75,0.91,0.86,0.89,3.35,22.49,34.13
2019,110,6.88,13.68,1.84,331.33,9.99,0.74,0.93,0.25,0.68,3.44,4.45,1.1,3.34,0.9,0.88,0.91,6.17,23.4,34.36
2019,111,8.48,13.31,4.04,330.77,0.45,0.34,1.05,0.13,0.91,1.17,2.28,0.21,2.07,0.87,0.87,0.91,14.53,24.73,34.58
2019,112,10.08,18.88,1.94,300.9,0.67,0.38,0.64,0.21,0.44,1.79,2.97,1.09,1.88,0.86,0.86,0.91,23.22,25.05,34.81
2019,113,9.09,15.01,2.97,328.99,8.93,0.55,0.83,0.3,0.52,2.7,4.23,0.88,3.34,0.88,0.86,0.91,17.04,24.8,35.03
2019,114,5.72,10.26,0.52,326.81,3.34,0.66,0.92,0.34,0.59,3.2,4.24,1.61,2.63,0.88,0.87,0.91,9.94,26.25,35.24
2019,115,7.45,15.73,0.15,301.95,0.01,0.42,0.98,0.07,0.91,1.38,2.22,0.34,1.88,0.86,0.86,0.91,16.25,26.16,35.46
2019,116,8.65,12.37,4.36,331.12,14.21,0.67,0.78,0.47,0.3,3.77,4.5,2.36,2.14,0.9,0.87,0.91,6.09,24.15,35.67
2019,117,4.45,8.45,-0.05,310.75,2.05,0.68,0.94,0.47,0.47,3.92,5.49,2.59,2.89,0.88,0.88,0.91,10.9,26.82,35.87
2019,118,3.23,9.85,-2.7,256.71,0.08,0.41,0.55,0.26,0.3,2.3,3.3,1.3,2.01,0.87,0.87,0.91,25.14,27.7,36.08
2019,119,3.61,9.95,-4.02,259.23,0.0,0.41,1.01,0.05,0.96,1.55,2.35,0.28,2.07,0.87,0.86,0.91,22.98,27.57,36.28
2019,120,6.14,12.7,-0.52,281.01,0.01,0.41,0.95,0.27,0.67,2.1,2.73,1.51,1.23,0.86,0.86,0.91,24.25,27.03,36.48
2019,121,1.95,4.33,0.79,305.15,9.41,0.48,0.66,0.27,0.39,3.14,4.48,1.53,2.95,0.88,0.86,0.91,7.81,24.57,36.68
2019,122,5.69,11.68,1.22,325.34,1.99,0.38,0.52,0.27,0.26,2.04,3.52,0.88,2.62,0.88,0.87,0.91,10.44,26.72,36.87
2019,123,7.96,12.7,3.8,328.3,4.51,0.27,0.6,0.09,0.51,1.2,1.74,0.63,1.11,0.88,0.87,0.91,7.65,25.36,37.06
2019,124,10.53,17.15,4.82,301.33,0.97,0.35,1.05,0.09,0.96,1.45,1.81,1.07,0.74,0.87,0.87,0.91,20.99,26.19,37.25
2019,125,11.73,19.02,3.38,278.06,0.0,0.58,1.23,0.11,1.12,1.79,2.5,0.85,1.65,0.86,0.86,0.91,27.04,28.38,37.43
2019,126,12.26,20.58,3.55,308.34,0.94,0.27,0.77,0.12,0.66,1.75,2.61,1.02,1.59,0.86,0.86,0.91,23.95,27.56,37.61
2019,127,9.2,14.3,2.03,307.5,0.11,0.28,0.38,0.22,0.16,2.12,2.67,1.57,1.1,0.86,0.85,0.91,20.85,27.21,37.79
2019,128,5.82,12.9,-1.67,246.7,0.04,0.32,1.02,0.16,0.87,2.05,2.59,1.22,1.36,0.86,0.85,0.91,29.4,29.43,37.96
2019,129,6.07,11.22,1.81,319.43,10.48,0.38,0.49,0.27,0.22,3.29,4.33,2.16,2.16,0.88,0.85,0.91,12.67,26.66,38.13
2019,130,12.89,19.36,6.05,358.16,16.4,0.31,0.46,0.15,0.31,3.01,4.19,2.33,1.85,0.91,0.88,0.91,5.53,26.15,38.29
2019,131,8.1,13.93,2.83,306.59,1.29,0.3,0.66,0.21,0.45,2.21,2.88,1.27,1.61,0.88,0.88,0.91,20.46,29.14,38.46
2019,132,9.68,15.53,3.61,299.3,0.04,0.27,0.31,0.17,0.14,2.0,2.64,1.49,1.16,0.87,0.87,0.91,22.99,28.69,38.62
2019,133,8.98,12.48,5.56,325.27,5.58,0.28,0.38,0.23,0.15,2.17,3.29,1.45,1.84,0.88,0.86,0.91,10.65,27.1,38.78
2019,134,6.79,9.75,4.74,316.21,6.61,0.32,0.78,0.11,0.67,1.62,2.37,0.82,1.55,0.89,0.88,0.91,13.7,28.51,38.93
2019,135,9.5,16.51,4.62,322.14,1.86,0.24,0.56,0.01,0.55,1.29,2.31,0.09,2.22,0.88,0.87,0.91,16.43,27.91,39.08
2019,136,9.28,15.55,4.98,328.02,0.73,0.23,0.84,0.02,0.83,1.39,2.09,0.15,1.95,0.87,0.87,0.91,19.47,28.79,39.23
2019,137,8.91,12.87,4.55,350.38,3.34,0.28,0.4,0.12,0.28,2.3,3.51,1.09,2.42,0.88,0.87,0.91,7.21,27.76,39.37
2019,138,10.36,16.98,4.11,338.28,0.5,0.26,0.71,0.09,0.62,1.63,2.3,0.75,1.55,0.87,0.87,0.91,15.25,29.31,39.5
2019,139,12.77,19.9,7.57,357.08,8.34,0.23,0.38,0.15,0.23,2.02,3.16,0.91,2.25,0.88,0.87,0.91,15.65,26.46,39.64
2019,140,14.04,21.08,7.42,365.21,0.91,0.35,0.46,0.19,0.27,3.09,4.36,1.25,3.11,0.87,0.87,0.91,14.38,28.11,39.77
2019,141,10.26,16.1,5.52,318.34,0.06,0.42,0.56,0.3,0.26,3.43,5.01,1.94,3.07,0.86,0.86,0.91,21.59,29.31,39.89
