sep =,
Farm, Field, Time period, Year, Notes, Crop, Yield (kg ha^-1),Moisture content (%),Harvest method,Tillage type,Product returned to soil (%),Straw returned to soil (%),Roots returned to soil (%),Relative C allocation coefficient of product,Relative C allocation coefficient of straw,Relative C allocation coefficient of roots,Relative C allocation coefficient of extraroots,Climate Factor (re_crop),Tillage Factor (r_c),Management factor (r_e),Plant Carbon in Product (C_p) (kg C ha^-1),Carbon input from product (C_ptoSoil) (kg C ha^-1),Carbon input from straw (C_s) (kg C ha^-1),Carbon input from roots (C_r) (kg C ha^-1),Carbon input from extraroots (C_e) (kg C ha^-1),Average Soil Carbon All Fields in Farm (C_t_avg_fields) (kg C ha^-1),Soil Carbon (C_t) (kg C ha^-1),Measured Soil Carbon (C_t_measured) (kg C ha^-1),Soil Carbon RMSE (C_t_rmse) (kg C ha^-1),Soil Carbon MAE (C_t_mae) (kg C ha^-1),Calculated C Difference From Start of Year (calculated_C_t_difference_from_start_year) (kg C ha^-1),Measured Carbon Difference from Start of Year (measured_C_t_difference_from_start_year) (kg C ha^-1),Change in soil carbon (delta_C_t) (kg C ha^-1),Above Ground Carbon Input (i_ag) (kg C ha^-1),Below Ground Carbon Input (i_bg) (kg C ha^-1),Manure Carbon Input (i_m) (kg year^-1),Young Pool Above Ground (Y_ag) (kg C ha^-1),Young Pool Below Ground (Y_bg) (kg C ha^-1),Old Pool Soil Carbon (O_t) (kg C ha^-1),Synthetic Inputs Before Adjustments (N_SN) (kg N),Above Ground Nitrogen Residue for Crops (AGresidueN_Crop) (kg N ha^-1),Below Ground Residue N for Crop  (BGresidueN_Crop) (kg N ha^-1),Above Ground Residue Pool (AGresidueN_Field) (kg N ha^-1),Below Ground Residue Pool (BGresidueN_Field) (kg N ha^-1),Crop residues before adjustment (N_CropResidues) (kg N ha^-1),Manure residue pool (ManureN) (kg N),Crop nitrogen demand (CropN_demand) (kg N),N Mineralization from Decomposition of old Carbon (N_min_fromDecompositionOfOldCarbon) (kg N),Old Pool Nitrogen Requirements (delta_O_Ndemand) (kg N),Microbial pool (after budget close) (kg N),Microbial pool (after old pool reduction) (kg N),Microbial pool (after crop demand reduction) (kg N),MIneral Nitrogen Pool (mineralN) (kg N),Microbial Nitrogen Pool (microbeN) (kg N),Mineral Nitrogen Balance (N_mineralNbalance) (kg N),Microbial Nitrogen Balance (N_microbeNbalance) (kg N),Total N inputs (kg N),Total N emissions (kg N),Total N uptake (kg N),Total N outputs (kg N),Total N difference (kg N),Microbe death (kg N),Mineral + microbial (kg N),Overflow (kg N),Ratio (kg N),N2O Direct (kg N2O),N2O-N_direct (kg N2O-N),N2O-N from Synthetic Nitrogen (N2O-N_SNdirect) (kg N2O-N),N2O-N From Crop Residues (N2O-N_CRNdirect) (kg N2O-N),N2O-N from Nitrogen Mineralization (N2O-N_CRNmindirect) (kg N2O-N),N2O-N from Organic Nitrogen (N2O-N_ONdirect) (kg N2O-N),N2O Indirect (kg N2O),N2O-N_indirect (kg N2O-N),N2O-N from Synthetic Nitrogen Leaching (N2O-N_SNleach) (kg N2O-N),N2O-N from Crop Residue Leaching (N2O-N_CRNleach) (kg N2O-N),N2O-N from Mineral Leaching (N2O-N_minleach) (kg N2O-N),N2O-N from Organic Nitrogen Leaching (N2O-N_ONleach) (kg N2O-N),N2O-N from Synthetic Nitrogen Volatilization (N2O-N_SNvolatilization) (kg N2O-N),NO-N_total (Kg NO-N),NO3-N_totalLeach (kg NO3-N ha^-1),NH4-N_volatilized (kg NH4-N ha^-1),Denitrification for area (N2-N_loss) (kg N2-N ha^-1)
"test","wheat no irri","Current","2007","","Wheat","3700.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.54","1.00","1.54","0.00","0.00","0.00","0.00","0.00","51443.87","51443.87","0.00","0.00","0.00","0.00","0.00","102.03","3481.11","797.17","0.00","0.00","0.00","0.00","5.00","32.08","11.45","32.08","11.45","43.52","0.00","43.52","30.78","0.00","-251.11","-284.61","-328.13","0.00","-328.13","0.00","-25.31","79.30","27.60","77.02","104.61","-25.31","0.00","-328.13","-328.13","0.00","4.51","2.87","0.21","1.55","1.10","0.00","0.43","0.27","0.02","0.14","0.10","0.00","0.01","0.29","23.53","0.64","0.00",
"test","wheat no irri","Current","2008","","Wheat","3400.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.65","1.00","1.65","0.00","0.00","0.00","0.00","0.00","51392.08","51392.08","0.00","0.00","0.00","0.00","0.00","-51.79","3231.43","740.00","0.00","0.00","0.00","0.00","5.00","29.78","10.62","29.78","10.62","40.40","0.00","40.40","29.22","0.00","-279.52","-310.62","-351.01","0.00","-351.01","0.00","-22.88","74.62","26.01","71.49","97.50","-22.88","0.00","-351.01","-351.01","0.00","4.24","2.70","0.21","1.44","1.04","0.00","0.40","0.26","0.02","0.13","0.10","0.00","0.01","0.27","22.14","0.64","0.00",
"test","wheat no irri","Current","2009","","Wheat","3600.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.49","1.00","1.49","0.00","0.00","0.00","0.00","0.00","51434.89","51434.89","0.00","0.00","0.00","0.00","0.00","42.81","3398.45","778.24","0.00","0.00","0.00","0.00","5.00","31.31","11.17","31.31","11.17","42.49","0.00","42.49","30.40","0.00","-300.24","-332.94","-375.43","0.00","-375.43","0.00","-24.42","77.89","27.12","75.19","102.31","-24.42","0.00","-375.43","-375.43","0.00","4.43","2.82","0.21","1.52","1.09","0.00","0.42","0.27","0.02","0.14","0.10","0.00","0.01","0.28","23.11","0.64","0.00",
"test","wheat no irri","Current","2010","","Wheat","3600.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.74","1.00","1.74","0.00","0.00","0.00","0.00","0.00","51449.69","51449.69","0.00","0.00","0.00","0.00","0.00","14.79","3398.45","778.24","0.00","0.00","0.00","0.00","5.00","31.31","11.17","31.31","11.17","42.49","0.00","42.49","30.51","0.00","-324.59","-357.29","-399.78","0.00","-399.78","0.00","-24.35","78.00","27.16","75.19","102.34","-24.35","0.00","-399.78","-399.78","0.00","4.43","2.82","0.21","1.52","1.09","0.00","0.42","0.27","0.02","0.14","0.10","0.00","0.01","0.28","23.14","0.64","0.00",
"test","wheat no irri","Current","2011","","Wheat","3300.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.74","1.00","1.74","0.00","0.00","0.00","0.00","0.00","51348.39","51348.39","0.00","0.00","0.00","0.00","0.00","-101.30","3147.07","720.68","0.00","0.00","0.00","0.00","5.00","29.00","10.35","29.00","10.35","39.34","0.00","39.34","28.75","0.00","-352.17","-382.46","-421.80","0.00","-421.80","0.00","-22.02","73.09","25.49","69.63","95.12","-22.02","0.00","-421.80","-421.80","0.00","4.16","2.65","0.21","1.41","1.03","0.00","0.39","0.25","0.02","0.13","0.09","0.00","0.01","0.26","21.69","0.64","0.00",
"test","wheat no irri","Current","2012","","Wheat","4100.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.75","1.00","1.75","0.00","0.00","0.00","0.00","0.00","51569.30","51569.30","0.00","0.00","0.00","0.00","0.00","220.90","3806.29","871.64","0.00","0.00","0.00","0.00","5.00","35.07","12.51","35.07","12.51","47.59","0.00","47.59","33.40","0.00","-365.68","-402.31","-449.89","0.00","-449.89","0.00","-28.09","85.99","29.87","84.21","114.08","-28.09","0.00","-449.89","-449.89","0.00","4.88","3.11","0.21","1.70","1.19","0.00","0.46","0.29","0.02","0.16","0.11","0.00","0.01","0.31","25.51","0.64","0.00",
"test","wheat no irri","Current","2013","","Wheat","3600.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.72","1.00","1.72","0.00","0.00","0.00","0.00","0.00","51505.47","51505.47","0.00","0.00","0.00","0.00","0.00","-63.83","3398.45","778.24","0.00","0.00","0.00","0.00","5.00","31.31","11.17","31.31","11.17","42.49","0.00","42.49","30.84","0.00","-398.83","-431.53","-474.02","0.00","-474.02","0.00","-24.13","78.33","27.27","75.19","102.46","-24.13","0.00","-474.02","-474.02","0.00","4.45","2.83","0.21","1.52","1.10","0.00","0.42","0.27","0.02","0.14","0.10","0.00","0.01","0.28","23.24","0.64","0.00",
"test","wheat no irri","Current","2014","","Wheat","4200.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.60","1.00","1.60","0.00","0.00","0.00","0.00","0.00","51688.01","51688.01","0.00","0.00","0.00","0.00","0.00","182.54","3886.24","889.95","0.00","0.00","0.00","0.00","5.00","35.81","12.78","35.81","12.78","48.59","0.00","48.59","34.32","0.00","-416.63","-454.03","-502.61","0.00","-502.61","0.00","-28.59","87.91","30.52","85.98","116.50","-28.59","0.00","-502.61","-502.61","0.00","4.99","3.17","0.21","1.74","1.23","0.00","0.47","0.30","0.02","0.16","0.11","0.00","0.01","0.32","26.08","0.64","0.00",
"test","wheat no irri","Current","2015","","Wheat","4300.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.84","1.00","1.84","0.00","0.00","0.00","0.00","0.00","51817.44","51817.44","0.00","0.00","0.00","0.00","0.00","129.43","3965.67","908.14","0.00","0.00","0.00","0.00","5.00","36.54","13.04","36.54","13.04","49.58","0.00","49.58","35.23","0.00","-443.97","-482.13","-531.71","0.00","-531.71","0.00","-29.10","89.80","31.16","87.74","118.90","-29.10","0.00","-531.71","-531.71","0.00","5.10","3.24","0.21","1.77","1.26","0.00","0.48","0.31","0.02","0.16","0.12","0.00","0.01","0.32","26.64","0.64","0.00",
"test","wheat no irri","Current","2016","","Wheat","3800.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.76","1.00","1.76","0.00","0.00","0.00","0.00","0.00","51730.14","51730.14","0.00","0.00","0.00","0.00","0.00","-87.30","3563.22","815.98","0.00","0.00","0.00","0.00","5.00","32.83","11.72","32.83","11.72","44.55","0.00","44.55","32.55","0.00","-478.16","-512.44","-556.99","0.00","-556.99","0.00","-25.29","82.09","28.55","78.83","107.38","-25.29","0.00","-556.99","-556.99","0.00","4.66","2.97","0.21","1.59","1.16","0.00","0.44","0.28","0.02","0.15","0.11","0.00","0.01","0.30","24.36","0.64","0.00",
"test","wheat no irri","Current","2017","","Wheat","3890.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.63","1.00","1.63","0.00","0.00","0.00","0.00","0.00","51728.05","51728.05","0.00","0.00","0.00","0.00","0.00","-2.09","3636.65","832.79","0.00","0.00","0.00","0.00","5.00","33.51","11.96","33.51","11.96","45.47","0.00","45.47","32.93","0.00","-502.58","-537.57","-583.04","0.00","-583.04","0.00","-26.05","83.40","28.99","80.46","109.45","-26.05","0.00","-583.04","-583.04","0.00","4.74","3.01","0.21","1.62","1.18","0.00","0.45","0.28","0.02","0.15","0.11","0.00","0.01","0.30","24.74","0.64","0.00",
"test","wheat no irri","Current","2018","","Wheat","4000.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.69","1.00","1.69","0.00","0.00","0.00","0.00","0.00","51765.13","51765.13","0.00","0.00","0.00","0.00","0.00","37.07","3725.81","853.21","0.00","0.00","0.00","0.00","5.00","34.33","12.25","34.33","12.25","46.58","0.00","46.58","33.55","0.00","-527.48","-563.33","-609.91","0.00","-609.91","0.00","-26.87","85.13","29.58","82.43","112.01","-26.87","0.00","-609.91","-609.91","0.00","4.83","3.08","0.21","1.66","1.20","0.00","0.46","0.29","0.02","0.15","0.11","0.00","0.01","0.31","25.26","0.64","0.00",
"test","wheat no irri","Current","2019","","Wheat","3799.10","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.64","1.00","1.64","0.00","0.00","0.00","0.00","0.00","51719.42","51719.42","0.00","0.00","0.00","0.00","0.00","-45.71","3562.49","815.81","0.00","0.00","0.00","0.00","5.00","32.83","11.71","32.83","11.71","44.54","0.00","44.54","32.42","0.00","-556.45","-590.73","-635.27","0.00","-635.27","0.00","-25.36","81.96","28.50","78.82","107.32","-25.36","0.00","-635.27","-635.27","0.00","4.65","2.96","0.21","1.59","1.16","0.00","0.44","0.28","0.02","0.15","0.11","0.00","0.01","0.30","24.32","0.64","0.00",
